seed,rotate,pair_group,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s,finetune_result,finetune_failed_conditions,finetune_rel_x_m,finetune_rel_y_m,finetune_rel_z_m,finetune_orientation_alignment,finetune_inhand_status,finetune_inhand_bias_m,finetune_stop_reason,finetune_actions,finetune_cost_step,finetune_cost_time_s
1000035,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.000825667,0.001832421,-0.018239706,0.983082269,fail,0.040012453,inhand_early_stop,231,618,66.280337,failed,z_depth+inhand_bias,-0.002205783,0.000815098,-0.021824688,0.996027750,fail,0.040058110,inhand_early_stop,205,634,62.311867
1000036,0,both_success,success,,0.000071513,0.000016892,-0.040142916,0.998430271,pass_implied,,success,203,571,60.110009,success,,0.000309901,-0.000044558,-0.040117568,0.998373595,pass_implied,,success,211,611,61.301231
1000037,0,both_failed,failed,z_depth+inhand_bias,0.002040577,-0.000834350,-0.034975250,0.998187224,fail,0.040357163,inhand_early_stop,149,527,53.206858,failed,z_depth+inhand_bias,0.001714046,-0.000749183,-0.033060603,0.997682140,fail,0.040168061,inhand_early_stop,165,552,53.303918
1000038,0,both_failed,failed,z_depth+inhand_bias,0.002124502,0.001204520,-0.027959707,0.995587587,fail,0.040511673,inhand_early_stop,190,577,60.593248,failed,z_depth+orientation+inhand_bias,-0.006870172,0.007975008,0.004879932,0.971982721,fail,0.040071532,inhand_early_stop,189,605,58.771440
1000039,0,both_failed,failed,z_depth+inhand_bias,0.002705974,0.001954372,-0.037450082,0.998707755,fail,0.040214192,inhand_early_stop,228,637,68.682842,failed,z_depth+orientation+inhand_bias,-0.008522389,0.004953004,0.005042720,0.793889901,fail,0.040091297,inhand_early_stop,165,613,56.539788
1000040,0,both_success,success,,0.000174372,0.000041133,-0.040454083,0.999384906,pass_implied,,success,158,572,54.742217,success,,0.001112290,0.000009702,-0.040160585,0.999631889,pass_implied,,success,137,548,49.936912
1000041,0,finetune_only,failed,z_depth+inhand_bias,0.002294777,-0.001049646,-0.027860269,0.996236648,fail,0.040421972,inhand_early_stop,132,570,52.748871,success,,0.001921041,-0.000967582,-0.040247533,0.998707456,pass_implied,,success,148,543,50.773354
1000042,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.007214174,0.002028661,0.000521601,0.557502206,fail,0.040054554,inhand_early_stop,214,615,64.669576,failed,x+z_depth+orientation+inhand_bias,-0.013332743,0.007346884,0.008749595,0.981851418,fail,0.040186156,inhand_early_stop,224,624,63.264543
1000043,pi,both_failed,failed,z_depth+inhand_bias,-0.002354655,-0.001525042,-0.028826350,0.997392581,fail,0.040516810,inhand_early_stop,259,654,73.526494,failed,z_depth+inhand_bias,-0.002295261,-0.001960126,-0.032283070,0.997991379,fail,0.040479225,inhand_early_stop,257,653,69.208285
1000044,pi,both_failed,failed,z_depth+orientation+inhand_bias,-0.008004884,0.003544772,-0.003633182,0.659243641,fail,0.040168082,inhand_early_stop,209,609,64.613856,failed,z_depth+orientation+inhand_bias,-0.008074890,0.007135947,-0.003879009,0.715853854,fail,0.040102642,inhand_early_stop,206,607,60.589535
1000045,0,finetune_only,failed,z_depth+inhand_bias,0.001077907,-0.000977414,-0.029437282,0.996501626,fail,0.040341229,inhand_early_stop,252,684,73.139563,success,,0.001830845,-0.000153107,-0.040459233,0.999158308,pass_implied,,success,159,555,52.959227
1000046,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.007131335,-0.007793461,0.004489854,0.898956226,fail,0.040140032,inhand_early_stop,202,595,63.074802,failed,x+y+z_depth+orientation+inhand_bias,-0.010384378,-0.010638377,0.007551621,0.559674746,fail,0.040009467,inhand_early_stop,261,630,67.637257
1000047,0,both_failed,failed,z_depth+orientation+inhand_bias,0.001001591,0.000561466,-0.024640025,0.979039200,fail,0.040000364,inhand_early_stop,251,656,70.972582,failed,z_depth+inhand_bias,0.001305050,-0.001120905,-0.031665045,0.995077270,fail,0.040511617,inhand_early_stop,256,635,66.649591
1000048,pi,both_failed,failed,z_depth+inhand_bias,-0.001568324,0.000947965,-0.023093398,0.995939634,fail,0.040277507,inhand_early_stop,220,648,65.844099,failed,z_depth+inhand_bias,-0.001686716,0.001159491,-0.032325029,0.997437604,fail,0.040501136,inhand_early_stop,195,597,59.733323
1000049,pi,freeze_only,success,,-0.001302355,0.000544689,-0.040235058,0.998698091,pass_implied,,success,185,609,60.370311,failed,z_depth+inhand_bias,-0.001322711,0.000616875,-0.035783702,0.997899316,fail,0.040133522,inhand_early_stop,187,612,58.851176
1000050,0,freeze_only,success,,0.001727562,0.000002118,-0.040304910,0.998953356,pass_implied,,success,223,656,66.154768,failed,z_depth+orientation+inhand_bias,-0.009227612,-0.000120190,-0.002517046,0.557790077,fail,0.040404368,inhand_early_stop,185,614,57.749993
1000051,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.006672488,0.006442888,0.004744363,0.972450256,fail,0.040147810,inhand_early_stop,173,598,59.189159,failed,z_depth+orientation+inhand_bias,-0.006826322,0.007385525,0.004349710,0.911034016,fail,0.040122897,inhand_early_stop,178,590,57.347528
1000052,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.006705919,-0.008313152,0.004339669,0.921179305,fail,0.040023031,inhand_early_stop,195,603,61.061015,failed,z_depth+inhand_bias,0.001842847,-0.001045291,-0.033478271,0.997623217,fail,0.040937293,inhand_early_stop,254,692,69.195862
1000053,0,both_failed,failed,z_depth+orientation+inhand_bias,0.000745866,-0.001498094,-0.024313872,0.984961720,fail,0.040120463,inhand_early_stop,225,605,66.658154,failed,z_depth+orientation+inhand_bias,0.000871814,-0.001519502,-0.025522988,0.987742803,fail,0.040051025,inhand_early_stop,238,629,65.865026
1000054,pi,both_failed,failed,z_depth+orientation+inhand_bias,-0.009610577,-0.004679896,-0.005229865,0.851813062,fail,0.040165842,inhand_early_stop,147,534,52.734587,failed,x+z_depth+orientation+inhand_bias,-0.013337820,-0.009535123,-0.007330243,0.910242104,fail,0.040120927,inhand_early_stop,175,547,54.733443
1000055,pi,both_success,success,,-0.000509920,-0.000603796,-0.040779506,0.999952601,pass_implied,,success,163,560,56.265384,success,,-0.000455518,-0.000485873,-0.040717373,0.999939736,pass_implied,,success,154,544,51.651412
1000056,pi,finetune_only,failed,z_depth+inhand_bias,-0.001340113,0.000256191,-0.037329793,0.998486650,fail,0.040147150,inhand_early_stop,201,620,63.182449,success,,0.000083621,0.000448233,-0.041141939,0.999189936,pass_implied,,success,195,617,60.111666
1000057,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.005603216,0.001773297,-0.010718856,0.685478942,fail,0.040513229,inhand_early_stop,191,583,59.949321,failed,z_depth+inhand_bias,0.001502065,0.000086218,-0.033707991,0.997490545,fail,0.040166291,inhand_early_stop,192,586,58.444539
1000058,0,freeze_only,success,,0.002219950,0.000145391,-0.040170153,0.998807314,pass_implied,,success,199,580,61.661161,failed,x+z_depth+orientation+inhand_bias,-0.010953516,0.007287260,0.007035865,0.956672668,fail,0.040121105,inhand_early_stop,162,578,55.396048
1000059,0,both_success,success,,0.001847786,0.000219099,-0.040953830,0.999615238,pass_implied,,success,158,547,52.754257,success,,0.002313333,0.000365880,-0.040015951,0.999173331,pass_implied,,success,172,577,55.629730
